Muži;Ženy
#1a237e;#b71c1c
95+;122;447
90-94;714;1866
85-89;2058;4335
80-84;3431;5800
75-79;5853;8529
70-74;9054;12634
65-69;9928;12703
60-64;11283;12840
55-59;10230;11136
50-54;11816;11917
45-49;12176;11837
40-44;16535;15903
35-39;16405;15311
30-34;15874;14652
25-29;12922;12682
20-24;8462;8434
15-19;7074;6966
10-14;8369;7995
5-9;10037;9730
1-4;8656;8256
0;2301;2254
