;Obyvatelé/km2;
2000;1660
2001;1659
2002;1622
2003;1610
2004;1605
2005;1598
2006;1593
2007;1593
2008;1601
2009;1610
2010;1613
2011;1613
2012;1646
2013;1644
2014;1640
2015;1640
2016;1643
2017;1649
