;Index stáří (%);
2001;111.6
2002;114.1
2003;117.3
2004;120.2
2005;123.5
2006;127.8
2007;131
2008;134.7
2009;136.3
2010;136.5
2011;134.9
2012;136.1
2013;136.6
2014;136.2
2015;135.8
2016;135.4
2017;134.5
